periodo;codigo;indice;valor
200704;54498;llegada_pax_nacional;0
200704;63470;llegada_pax_nacional;0
200704;66001;llegada_pax_nacional;2098
200704;68001;llegada_pax_nacional;1495
200704;68081;llegada_pax_nacional;40
200704;68669;llegada_pax_nacional;3940
200704;70215;llegada_pax_nacional;307
200704;70221;llegada_pax_nacional;0
200704;70713;llegada_pax_nacional;0
200704;70717;llegada_pax_nacional;37
200704;70823;llegada_pax_nacional;0
200704;73001;llegada_pax_nacional;462
200704;73168;llegada_pax_nacional;0
200704;73275;llegada_pax_nacional;0
200704;73443;llegada_pax_nacional;0
200704;73449;llegada_pax_nacional;0
200704;76001;llegada_pax_nacional;6718
200704;76109;llegada_pax_nacional;0
200704;76126;llegada_pax_nacional;0
200704;76147;llegada_pax_nacional;0
200704;81001;llegada_pax_nacional;0
200704;81794;llegada_pax_nacional;2
200704;85001;llegada_pax_nacional;0
200704;85225;llegada_pax_nacional;0
200704;85230;llegada_pax_nacional;19
200704;85325;llegada_pax_nacional;18
200704;86568;llegada_pax_nacional;0
200704;86573;llegada_pax_nacional;0
200704;91001;llegada_pax_nacional;162
200704;94001;llegada_pax_nacional;0
200704;95001;llegada_pax_nacional;2
200704;97001;llegada_pax_nacional;3
200704;97666;llegada_pax_nacional;0
200704;99524;llegada_pax_nacional;0
200705;5001;llegada_pax_nacional;46
200705;5031;llegada_pax_nacional;17
200705;5045;llegada_pax_nacional;0
200705;5059;llegada_pax_nacional;716
200705;5147;llegada_pax_nacional;4977
200705;5154;llegada_pax_nacional;1605
200705;5172;llegada_pax_nacional;3
200705;5250;llegada_pax_nacional;494
200705;5284;llegada_pax_nacional;0
200705;5313;llegada_pax_nacional;0
200705;5361;llegada_pax_nacional;0
200705;5475;llegada_pax_nacional;14
200705;5480;llegada_pax_nacional;0
200705;5490;llegada_pax_nacional;147
200705;5579;llegada_pax_nacional;19
200705;5585;llegada_pax_nacional;98
200705;5591;llegada_pax_nacional;96
200705;5604;llegada_pax_nacional;1100
200705;5615;llegada_pax_nacional;41
200705;5837;llegada_pax_nacional;152
200705;5847;llegada_pax_nacional;5
200705;5873;llegada_pax_nacional;192
200705;8001;llegada_pax_nacional;3951
200705;8141;llegada_pax_nacional;0
200705;11001;llegada_pax_nacional;59167
200705;13001;llegada_pax_nacional;4499
200705;13430;llegada_pax_nacional;0
200705;13468;llegada_pax_nacional;0
200705;15272;llegada_pax_nacional;2
200705;15516;llegada_pax_nacional;0
200705;17001;llegada_pax_nacional;798
200705;18001;llegada_pax_nacional;5
200705;18753;llegada_pax_nacional;0
200705;19001;llegada_pax_nacional;0
200705;20001;llegada_pax_nacional;369
200705;20011;llegada_pax_nacional;2
200705;20060;llegada_pax_nacional;0
200705;20250;llegada_pax_nacional;0
200705;20400;llegada_pax_nacional;0
200705;20770;llegada_pax_nacional;0
200705;23001;llegada_pax_nacional;2460
200705;23068;llegada_pax_nacional;0
200705;23189;llegada_pax_nacional;0
200705;23466;llegada_pax_nacional;0
200705;25572;llegada_pax_nacional;0
200705;27001;llegada_pax_nacional;3651
200705;27006;llegada_pax_nacional;274
200705;27075;llegada_pax_nacional;508
200705;27077;llegada_pax_nacional;12
200705;27205;llegada_pax_nacional;245
200705;27495;llegada_pax_nacional;142
200705;41001;llegada_pax_nacional;183
200705;41298;llegada_pax_nacional;0
200705;44001;llegada_pax_nacional;142
200705;44430;llegada_pax_nacional;0
200705;44560;llegada_pax_nacional;0
200705;44847;llegada_pax_nacional;0
200705;47001;llegada_pax_nacional;2034
200705;47245;llegada_pax_nacional;0
200705;47318;llegada_pax_nacional;3
200705;50001;llegada_pax_nacional;2
200705;50568;llegada_pax_nacional;15
200705;50573;llegada_pax_nacional;0
200705;52001;llegada_pax_nacional;295
200705;52022;llegada_pax_nacional;0
200705;52835;llegada_pax_nacional;30
200705;54001;llegada_pax_nacional;1193
200705;54498;llegada_pax_nacional;0
200705;63470;llegada_pax_nacional;0
200705;66001;llegada_pax_nacional;2509
200705;68001;llegada_pax_nacional;1871
200705;68081;llegada_pax_nacional;44
200705;68669;llegada_pax_nacional;3687
200705;70215;llegada_pax_nacional;318
200705;70221;llegada_pax_nacional;0
200705;70713;llegada_pax_nacional;0
200705;70717;llegada_pax_nacional;30
200705;70823;llegada_pax_nacional;0
200705;73001;llegada_pax_nacional;494
200705;73168;llegada_pax_nacional;7
200705;73275;llegada_pax_nacional;7
200705;73443;llegada_pax_nacional;0
200705;73449;llegada_pax_nacional;0
200705;76001;llegada_pax_nacional;8094
200705;76109;llegada_pax_nacional;0
200705;76126;llegada_pax_nacional;0
200705;76147;llegada_pax_nacional;4
200705;81001;llegada_pax_nacional;0
200705;81794;llegada_pax_nacional;0
200705;85001;llegada_pax_nacional;0
200705;85225;llegada_pax_nacional;0
200705;85230;llegada_pax_nacional;0
200705;85325;llegada_pax_nacional;0
200705;86568;llegada_pax_nacional;0
200705;86573;llegada_pax_nacional;0
200705;91001;llegada_pax_nacional;202
200705;94001;llegada_pax_nacional;0
200705;95001;llegada_pax_nacional;0
200705;97001;llegada_pax_nacional;11
200705;97666;llegada_pax_nacional;0
200705;99524;llegada_pax_nacional;4
200706;5001;llegada_pax_nacional;45
200706;5031;llegada_pax_nacional;6
200706;5045;llegada_pax_nacional;0
200706;5059;llegada_pax_nacional;714
200706;5147;llegada_pax_nacional;4816
200706;5154;llegada_pax_nacional;1383
200706;5172;llegada_pax_nacional;3
200706;5250;llegada_pax_nacional;353
200706;5284;llegada_pax_nacional;5
200706;5313;llegada_pax_nacional;0
200706;5361;llegada_pax_nacional;0
200706;5475;llegada_pax_nacional;0
200706;5480;llegada_pax_nacional;0
200706;5490;llegada_pax_nacional;54
200706;5579;llegada_pax_nacional;9
200706;5585;llegada_pax_nacional;61
200706;5591;llegada_pax_nacional;156
200706;5604;llegada_pax_nacional;1060
200706;5615;llegada_pax_nacional;41
200706;5837;llegada_pax_nacional;242
200706;5847;llegada_pax_nacional;6
200706;5873;llegada_pax_nacional;228
200706;8001;llegada_pax_nacional;3739
200706;8141;llegada_pax_nacional;29
200706;11001;llegada_pax_nacional;57223
200706;13001;llegada_pax_nacional;4238
200706;13430;llegada_pax_nacional;0
200706;13468;llegada_pax_nacional;0
200706;15272;llegada_pax_nacional;0
200706;15516;llegada_pax_nacional;19
200706;17001;llegada_pax_nacional;735
200706;18001;llegada_pax_nacional;15
200706;18753;llegada_pax_nacional;3
200706;19001;llegada_pax_nacional;0
200706;20001;llegada_pax_nacional;280
200706;20011;llegada_pax_nacional;0
200706;20060;llegada_pax_nacional;0
200706;20250;llegada_pax_nacional;0
200706;20400;llegada_pax_nacional;0
200706;20770;llegada_pax_nacional;4
200706;23001;llegada_pax_nacional;2814
200706;23068;llegada_pax_nacional;5
200706;23189;llegada_pax_nacional;0
200706;23466;llegada_pax_nacional;0
200706;25572;llegada_pax_nacional;0
200706;27001;llegada_pax_nacional;4278
200706;27006;llegada_pax_nacional;278
200706;27075;llegada_pax_nacional;469
200706;27077;llegada_pax_nacional;7
200706;27205;llegada_pax_nacional;313
200706;27495;llegada_pax_nacional;169
200706;41001;llegada_pax_nacional;259
200706;41298;llegada_pax_nacional;0
200706;44001;llegada_pax_nacional;96
200706;44430;llegada_pax_nacional;0
200706;44560;llegada_pax_nacional;0
200706;44847;llegada_pax_nacional;0
200706;47001;llegada_pax_nacional;2093
200706;47245;llegada_pax_nacional;0
200706;47318;llegada_pax_nacional;0
200706;50001;llegada_pax_nacional;2
200706;50568;llegada_pax_nacional;0
200706;50573;llegada_pax_nacional;0
200706;52001;llegada_pax_nacional;328
200706;52022;llegada_pax_nacional;0
200706;52835;llegada_pax_nacional;26
200706;54001;llegada_pax_nacional;1485
200706;54498;llegada_pax_nacional;0
200706;63470;llegada_pax_nacional;0
200706;66001;llegada_pax_nacional;2571
200706;68001;llegada_pax_nacional;1879
200706;68081;llegada_pax_nacional;50
200706;68669;llegada_pax_nacional;5386
200706;70215;llegada_pax_nacional;626
200706;70221;llegada_pax_nacional;0
200706;70713;llegada_pax_nacional;0
200706;70717;llegada_pax_nacional;31
200706;70823;llegada_pax_nacional;23
200706;73001;llegada_pax_nacional;524
200706;73168;llegada_pax_nacional;0
200706;73275;llegada_pax_nacional;0
200706;73443;llegada_pax_nacional;0
200706;73449;llegada_pax_nacional;0
200706;76001;llegada_pax_nacional;7584
200706;76109;llegada_pax_nacional;0
200706;76126;llegada_pax_nacional;0
200706;76147;llegada_pax_nacional;2
200706;81001;llegada_pax_nacional;0
200706;81794;llegada_pax_nacional;0
200706;85001;llegada_pax_nacional;0
200706;85225;llegada_pax_nacional;0
200706;85230;llegada_pax_nacional;7
200706;85325;llegada_pax_nacional;0
